STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100211,0.69,6.7,2.75,27.8,20.6,29.6,11.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100212,0.76,7.3,2.82,28.4,20.8,29.8,11.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100213,0.82,7.9,2.88,29.0,21.0,30.1,11.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100214,0.88,8.5,2.94,29.6,21.2,30.3,12.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100215,0.94,9.0,3.00,30.1,21.4,30.5,12.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100216,1.00,9.6,3.06,30.7,21.7,30.8,12.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100217,1.06,10.2,3.12,31.3,21.9,31.0,12.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100218,1.12,10.8,3.18,31.9,22.2,31.3,13.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100219,1.18,11.3,3.24,32.4,22.4,31.5,13.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100220,1.24,11.9,3.30,33.0,22.7,31.8,13.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100221,1.30,12.5,3.36,33.6,22.9,32.1,13.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100222,1.37,13.0,3.43,34.1,23.2,32.4,14.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100223,1.43,13.6,3.49,34.7,23.5,32.6,14.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100224,1.49,14.1,3.55,35.2,23.7,32.9,14.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100225,1.56,14.7,3.62,35.8,24.0,33.2,14.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100226,1.63,15.3,3.69,36.4,24.3,33.5,15.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100227,1.69,15.8,3.75,36.9,24.6,33.8,15.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100228,1.76,16.4,3.82,37.5,24.9,34.1,15.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100301,0.06,0.6,3.88,38.1,25.3,34.4,16.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100302,0.13,1.2,3.95,38.7,25.6,34.7,16.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100303,0.19,1.9,4.01,39.4,25.9,35.0,16.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100304,0.26,2.5,4.08,40.0,26.2,35.3,17.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100305,0.32,3.1,4.14,40.6,26.6,35.7,17.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100306,0.39,3.7,4.21,41.2,26.9,36.0,17.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100307,0.46,4.4,4.28,41.9,27.3,36.3,18.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100308,0.53,5.0,4.35,42.5,27.6,36.7,18.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100309,0.61,5.7,4.43,43.2,28.0,37.0,19.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100310,0.68,6.3,4.50,43.8,28.4,37.4,19.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100311,0.74,6.9,4.56,44.4,28.8,37.8,19.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100312,0.81,7.4,4.63,44.9,29.2,38.1,20.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100313,0.88,8.0,4.70,45.5,29.6,38.5,20.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100314,0.95,8.6,4.77,46.1,30.0,38.9,21.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100315,1.02,9.1,4.84,46.6,30.4,39.3,21.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100316,1.09,9.7,4.91,47.2,30.8,39.7,21.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100317,1.16,10.2,4.98,47.7,31.2,40.1,22.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100318,1.24,10.7,5.06,48.2,31.6,40.5,22.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100319,1.31,11.2,5.13,48.7,32.0,41.0,23.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100320,1.38,11.7,5.20,49.2,32.5,41.4,23.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100321,1.46,12.2,5.28,49.7,32.9,41.8,24.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100322,1.53,12.6,5.35,50.1,33.4,42.3,24.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100323,1.61,13.0,5.43,50.5,33.8,42.7,24.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100324,1.69,13.4,5.51,50.9,34.3,43.2,25.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100325,1.76,13.8,5.58,51.3,34.7,43.7,25.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100326,1.84,14.2,5.66,51.7,35.2,44.2,26.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100327,1.91,14.5,5.73,52.0,35.7,44.6,26.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100328,1.99,14.9,5.81,52.4,36.1,45.1,27.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100329,2.07,15.2,5.89,52.7,36.6,45.6,27.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100330,2.14,15.5,5.96,53.0,37.1,46.1,28.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100331,2.22,15.8,6.04,53.3,37.6,46.6,28.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100401,0.08,0.2,6.12,53.5,38.0,47.2,28.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100402,0.17,0.5,6.21,53.8,38.5,47.7,29.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100403,0.26,0.7,6.30,54.0,39.0,48.2,29.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100404,0.35,1.0,6.39,54.3,39.5,48.7,30.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100405,0.44,1.2,6.48,54.5,40.0,49.3,30.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100406,0.52,1.4,6.56,54.7,40.4,49.8,31.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100407,0.61,1.6,6.65,54.9,40.9,50.3,31.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100408,0.70,1.8,6.74,55.1,41.4,50.9,31.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100409,0.79,2.0,6.83,55.3,41.9,51.4,32.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100410,0.89,2.2,6.93,55.5,42.3,51.9,32.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100411,0.98,2.4,7.02,55.7,42.8,52.5,33.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100412,1.08,2.6,7.12,55.9,43.3,53.0,33.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100413,1.18,2.8,7.22,56.1,43.8,53.5,34.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100414,1.27,2.9,7.31,56.2,44.2,54.1,34.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100415,1.37,3.1,7.41,56.4,44.7,54.6,34.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100416,1.46,3.2,7.50,56.5,45.1,55.1,35.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100417,1.56,3.4,7.60,56.7,45.6,55.6,35.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100418,1.66,3.5,7.70,56.8,46.0,56.1,35.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100419,1.75,3.6,7.79,56.9,46.5,56.6,36.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100420,1.84,3.7,7.88,57.0,46.9,57.1,36.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100421,1.94,3.9,7.98,57.2,47.3,57.6,37.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100422,2.03,4.0,8.07,57.3,47.8,58.1,37.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100423,2.12,4.1,8.16,57.4,48.2,58.6,37.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100424,2.22,4.2,8.26,57.5,48.6,59.1,38.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100425,2.31,4.3,8.35,57.6,49.0,59.5,38.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100426,2.41,4.3,8.45,57.6,49.4,60.0,38.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100427,2.51,4.4,8.55,57.7,49.8,60.4,39.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100428,2.61,4.5,8.65,57.8,50.2,60.9,39.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100429,2.72,4.5,8.76,57.8,50.6,61.3,39.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100430,2.82,4.6,8.86,57.9,50.9,61.7,40.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100501,0.10,0.0,8.96,57.9,51.3,62.1,40.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100502,0.19,0.0,9.05,57.9,51.7,62.5,40.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100503,0.29,0.0,9.15,57.9,52.0,62.9,41.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100504,0.39,0.0,9.25,57.9,52.4,63.3,41.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100505,0.50,0.0,9.36,57.9,52.7,63.7,41.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100506,0.61,0.0,9.47,57.9,53.1,64.0,42.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100507,0.71,0.0,9.57,57.9,53.4,64.4,42.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100508,0.81,0.0,9.67,57.9,53.8,64.7,42.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100509,0.91,0.0,9.77,57.9,54.1,65.1,43.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100510,1.02,0.0,9.88,57.9,54.4,65.4,43.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100511,1.12,0.0,9.98,57.9,54.7,65.8,43.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100512,1.23,0.0,10.09,57.9,55.1,66.1,44.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100513,1.33,0.0,10.19,57.9,55.4,66.4,44.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100514,1.44,0.0,10.30,57.9,55.7,66.7,44.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100515,1.55,0.0,10.41,57.9,56.0,67.0,45.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100516,1.65,0.0,10.51,57.9,56.3,67.3,45.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100517,1.76,0.0,10.62,57.9,56.7,67.6,45.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100518,1.88,0.0,10.74,57.9,57.0,67.9,46.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100519,2.00,0.0,10.86,57.9,57.3,68.2,46.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100520,2.11,0.0,10.97,57.9,57.6,68.5,46.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100521,2.23,0.0,11.09,57.9,57.9,68.8,47.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100522,2.35,0.0,11.21,57.9,58.2,69.1,47.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100523,2.48,0.0,11.34,57.9,58.6,69.4,47.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100524,2.60,0.0,11.46,57.9,58.9,69.7,48.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100525,2.72,0.0,11.58,57.9,59.2,70.0,48.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100526,2.84,0.0,11.70,57.9,59.5,70.3,48.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100527,2.96,0.0,11.82,57.9,59.8,70.6,49.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100528,3.08,0.0,11.94,57.9,60.1,70.9,49.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100529,3.20,0.0,12.06,57.9,60.5,71.2,49.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100530,3.33,0.0,12.19,57.9,60.8,71.5,50.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100531,3.45,0.0,12.31,57.9,61.1,71.8,50.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100601,0.12,0.0,12.43,57.9,61.4,72.1,50.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100602,0.25,0.0,12.56,57.9,61.7,72.4,51.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100603,0.37,0.0,12.68,57.9,62.1,72.7,51.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100604,0.49,0.0,12.80,57.9,62.4,73.0,51.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100605,0.61,0.0,12.92,57.9,62.7,73.3,52.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100606,0.73,0.0,13.04,57.9,63.0,73.6,52.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100607,0.85,0.0,13.16,57.9,63.4,73.9,52.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100608,0.97,0.0,13.28,57.9,63.7,74.2,53.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100609,1.10,0.0,13.41,57.9,64.0,74.5,53.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100610,1.22,0.0,13.53,57.9,64.3,74.8,53.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100611,1.34,0.0,13.65,57.9,64.6,75.1,54.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100612,1.47,0.0,13.78,57.9,64.9,75.4,54.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100613,1.60,0.0,13.91,57.9,65.2,75.7,54.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100614,1.73,0.0,14.04,57.9,65.5,76.0,55.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100615,1.85,0.0,14.16,57.9,65.8,76.3,55.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100616,1.97,0.0,14.28,57.9,66.1,76.6,55.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100617,2.09,0.0,14.40,57.9,66.4,76.9,56.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100618,2.21,0.0,14.52,57.9,66.7,77.2,56.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100619,2.33,0.0,14.64,57.9,67.0,77.4,56.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100620,2.45,0.0,14.76,57.9,67.3,77.7,56.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100621,2.57,0.0,14.88,57.9,67.5,78.0,57.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100622,2.69,0.0,15.00,57.9,67.8,78.2,57.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100623,2.81,0.0,15.12,57.9,68.0,78.5,57.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100624,2.94,0.0,15.25,57.9,68.3,78.7,57.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100625,3.06,0.0,15.37,57.9,68.5,78.9,58.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100626,3.20,0.0,15.51,57.9,68.7,79.1,58.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100627,3.32,0.0,15.63,57.9,68.9,79.3,58.5
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100628,3.44,0.0,15.75,57.9,69.1,79.5,58.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100629,3.57,0.0,15.88,57.9,69.3,79.7,58.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100630,3.69,0.0,16.00,57.9,69.5,79.9,59.1
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100701,0.13,0.0,16.13,57.9,69.6,80.0,59.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100702,0.26,0.0,16.26,57.9,69.8,80.2,59.4
